Country,Coastline ,Infant mortality (per 1000 births),GDP ($ per capita),Arable ,Crops ,Climate,Birthrate,Deathrate,Agriculture
Swaziland ,"0,00","69,27",4900,"10,35","0,7","2,5","27,41","29,74","0,119"
Sweden ,"0,72","2,77",26800,"6,54","0,01",3,"10,27","10,31","0,011"
Switzerland ,"0,00","4,39",32700,"10,42","0,61",3,"9,71","8,49","0,015"
Syria ,"0,10","29,53",3300,"25,22","4,43",1,"27,76","4,81","0,249"
Taiwan ,"4,35","6,4",23400,24,1,2,"12,56","6,48","0,018"
Tajikistan ,"0,00","110,76",1000,"6,61","0,92",2,"32,65","8,25","0,234"
Tanzania ,"0,15","98,54",600,"4,52","1,08",,"37,71","16,39","0,432"
Thailand ,"0,63","20,48",7400,"29,36","6,46",2,"13,87","7,04","0,099"
Togo ,"0,10","66,61",1500,"46,15","2,21",2,"37,01","9,83","0,395"
Tonga ,"56,02","12,62",2200,"23,61","43,06",2,"25,37","5,28","0,23"
Trinidad & Tobago ,"7,06","24,31",9500,"14,62","9,16",2,"12,9","10,57","0,007"
Tunisia ,"0,70","24,77",6900,"17,86","13,74",3,"15,52","5,13","0,132"
Turkey ,"0,92","41,04",6700,"30,93","3,31",3,"16,62","5,97","0,117"
Turkmenistan ,"0,00","73,08",5800,"3,72","0,14",1,"27,61","8,6","0,209"
Turks & Caicos Is ,"90,47","15,67",9600,"2,33",0,2,"21,84","4,21",
Tuvalu ,"92,31","20,03",1100,0,0,2,"22,18","7,11","0,166"
Uganda ,"0,00","67,83",1400,"25,88","10,65",2,"47,35","12,24","0,311"
Ukraine ,"0,46","20,34",5400,"56,21","1,61",3,"8,82","14,39","0,187"
United Arab Emirates ,"1,59","14,51",23200,"0,6","2,25",1,"18,96","4,4","0,04"
United Kingdom ,"5,08","5,16",27700,"23,46","0,21",3,"10,71","10,13","0,005"
United States ,"0,21","6,5",37800,"19,13","0,22",3,"14,14","8,26","0,01"
Uruguay ,"0,37","11,95",12800,"7,43","0,23",3,"13,91","9,05","0,093"
Uzbekistan ,"0,00","71,1",1700,"10,83","0,83",1,"26,36","7,84","0,342"
Vanuatu ,"20,72","55,16",2900,"2,46","7,38",2,"22,72","7,82","0,26"
Venezuela ,"0,31","22,2",4800,"2,95","0,92",2,"18,71","4,92","0,04"
Vietnam ,"1,05","25,95",2500,"19,97","5,95",2,"16,86","6,22","0,209"
Virgin Islands ,"9,84","8,03",17200,"11,76","2,94",2,"13,96","6,43","0,01"
Wallis and Futuna ,"47,08",,3700,5,25,2,,,
West Bank ,"0,00","19,62",800,"16,9","18,97",3,"31,67","3,92","0,09"
Western Sahara ,"0,42",,,"0,02",0,1,,,
Yemen ,"0,36","61,5",800,"2,78","0,24",1,"42,89","8,3","0,135"
Zambia ,"0,00","88,29",800,"7,08","0,03",2,41,"19,93","0,22"
Zimbabwe ,"0,00","67,69",1900,"8,32","0,34",2,"28,01","21,84","0,179"
